Event,Next step,Validation conclusion,Review conclusion,Glitch subtraction,Finalized,Links,Status
S230608as,None ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org/superevents/S230608as), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230608), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202306/S230608as), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230608as)",
S230609u,None ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,DQ issues but no noise mitigation required,Not required,Yes,"[GraceDB](https://gracedb.ligo.org/superevents/S230609u), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230609), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202306/S230609u), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230609u)",
S230622ba,Retracted,Retracted,Retracted,Retracted,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230622ba), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230622), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202306/S230622ba/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230622ba)",
S230624av,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230624av), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230624), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202306/S230624av/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230624av)",
S230627c,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230627c), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230627), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202306/S230627c/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230627c)",
S230628ax,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230628ax), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230628), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202306/S230628ax/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230628ax)",
S230630am,None ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230630am), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230630), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202306/S230630am/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230630am)",
S230630bq,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230630bq), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230630), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202306/S230630bq/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230630bq)",
S230702an,None ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,DQ issues but no noise mitigation required,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230702an), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230702), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202307/S230702an/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230702an)",
S230704f,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230704f), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230704), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202307/S230704f/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230704f)",
S230706ah,None ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,DQ issues but no noise mitigation required,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230706ah), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230706), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202307/S230706ah/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230706ah)",
S230707ai,None ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,Noise mitigation required,Required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230707ai), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230707), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202307/S230707ai/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230707ai)",
S230708t,None ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,Noise mitigation required,Required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230708t), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230708), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202307/S230708t/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230708t)",
S230708z,None ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230708z), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230708), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202307/S230708z/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230708z)",
S230708bi,Retracted,Retracted,Retracted,Retracted,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230708bi), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230708), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202307/S230708bi/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230708bi)",
S230708cf,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230708cf), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230708), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202307/S230708cf/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230708cf)",
S230709bi,None ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,DQ issues but no noise mitigation required,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230709bi), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230709), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202307/S230709bi/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230709bi)",
S230712a,Retracted,Retracted,Retracted,Retracted,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230712a), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230712), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202307/S230712a/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230712a)",
S230715bw,Retracted,Retracted,Retracted,Retracted,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230715bw), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230715), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202307/S230715bw/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230715bw)",
S230723ac,None ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230723ac), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230723), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202307/S230723ac/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230723ac)",
S230726a,None ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230726a), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230726), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202307/S230726a/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230726a)",
S230729z,None ([contact](mailto:shania.nichols@ligo.org)),DQ issues,DQ issues but no noise mitigation required,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230729z), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230729), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202307/S230729z/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230729z)",
S230731an,None ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,DQ issues but no noise mitigation required,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230731an), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230731), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202307/S230731an/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230731an)",
S230802aq,Retracted,Retracted,Retracted,Retracted,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230802aq), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230802), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202308/S230802aq/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230802aq)",
S230805x,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230805x), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230805), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202308/S230805x/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230805x)",
S230806ak,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230806ak), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230806), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202308/S230806ak/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230806ak)",
S230807f,None ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,DQ issues but no noise mitigation required,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230807f), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230807), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202308/S230807f/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230807f)",
S230808i,Retracted,Retracted,Retracted,Retracted,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230808i), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230808), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202308/S230808i/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230808i)",
S230811n,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230811n), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230811), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202308/S230811n/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230811n)",
S230814r,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230814r), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230814), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202308/S230814r/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230814r)",
S230814ah,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230814ah), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230814), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202308/S230814ah/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230814ah)",
S230819ax,PE ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,Noise mitigation required,Required,No,"[GraceDB](https://gracedb.ligo.org//superevents/S230819ax), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230819), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202308/S230819ax/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230819ax)",
S230820bq,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230820bq), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230820), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202308/S230820bq/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230820bq)",
S230822bm,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230822bm), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230822), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202308/S230822bm/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230822bm)",
S230824r,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230824r), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230824), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202308/S230824r/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230824r)",
S230825k,None ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230825k), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230825), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202308/S230825k/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230825k)",
S230830b,Retracted,Retracted,Retracted,Retracted,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230830b), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230830), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202308/S230830b/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230830b)",
S230831e,None ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,DQ issues but no noise mitigation required,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230831e), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230831), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202308/S230831e/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230831e)",
S230904n,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,DQ issues but no noise mitigation required,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230904n), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230904), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202309/S230904n/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230904n)",
S230911ae,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230911ae), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230911), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202309/S230911ae/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230911ae)",
S230914ak,None ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,DQ issues but no noise mitigation required,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230914ak), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230914), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202309/S230914ak/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230914ak)",
S230919bj,None ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230919bj), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230919), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202309/S230919bj/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230919bj)",
S230920al,None ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,DQ issues but no noise mitigation required,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230920al), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230920), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202309/S230920al/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230920al)",
S230920ap,Retracted,Retracted,Retracted,Retracted,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230920ap), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230920), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202309/S230920ap/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230920ap)",
S230922g,None ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230922g), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230922), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202309/S230922g/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230922g)",
S230922q,None ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230922q), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230922), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202309/S230922q/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230922q)",
S230924an,None ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,DQ issues but no noise mitigation required,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230924an), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230924), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202309/S230924an/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230924an)",
S230927l,None ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230927l), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230927), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202309/S230927l/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230927l)",
S230927be,None ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230927be), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230927), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202309/S230927be/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230927be)",
S230928cb,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230928cb), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230928), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202309/S230928cb/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230928cb)",
S230930al,None ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,DQ issues but no noise mitigation required,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S230930al), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20230930), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202309/S230930al/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S230930al)",
S231001aq,None ([contact](mailto:laura.nuttall@port.ac.uk)),DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S231001aq), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20231001), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202310/S231001aq/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S231001aq)",
S231005j,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S231005j), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20231005), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202310/S231005j/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S231005j)",
S231005ah,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,DQ issues but no noise mitigation required,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S231005ah), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20231005), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202310/S231005ah/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S231005ah)",
S231008ap,None ([contact](mailto:laura.nuttall@port.ac.uk)),No DQ issues,No DQ issues,Not required,Yes,"[GraceDB](https://gracedb.ligo.org//superevents/S231008ap), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20231008), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202310/S231008ap/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S231008ap)",
