Event,Next step,Validation conclusion,Review conclusion,Glitch subtraction,Finalized,Links,Status
S240501an,Review ([contact](mailto:shania.nichols@ligo.org)),No DQ issues,Not ready,N/A,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240501an), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240501), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202405/S240501an/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240501an)",
S240505av,Review ([contact](mailto:shania.nichols@ligo.org)),No DQ issues,Not ready,N/A,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240505av), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240505), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202405/S240505av/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240505av)",
S240507p,Review ([contact](mailto:shania.nichols@ligo.org)),No DQ issues,Not ready,N/A,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240507p), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240507), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202405/S240507p/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240507p)",
S240511i,Review ([contact](mailto:shania.nichols@ligo.org)),No DQ issues,Not ready,N/A,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240511i), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240511), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202405/S240511i/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240511i)",
S240512r,Review ([contact](mailto:shania.nichols@ligo.org)),DQ issues,Not ready,N/A,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240512r), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240512), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202405/S240512r/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240512r)",
S240513ei,Review ([contact](mailto:shania.nichols@ligo.org)),No DQ issues,Not ready,N/A,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240513ei), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240513), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202405/S240513ei/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240513ei)",
S240514c,Review ([contact](mailto:shania.nichols@ligo.org)),DQ issues,Not ready,N/A,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240514c), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240514), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202405/S240514c/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240514c)",
S240514x,Review ([contact](mailto:shania.nichols@ligo.org)),No DQ issues,Not ready,N/A,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240514x), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240514), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202405/S240514x/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240514x)",
S240515m,Review ([contact](mailto:shania.nichols@ligo.org)),DQ issues,Not ready,N/A,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240515m), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240515), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202405/S240515m/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240515m)",
S240520cv,Review ([contact](mailto:shania.nichols@ligo.org)),DQ issues,Not ready,N/A,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240520cv), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240520), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202405/S240520cv/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240520cv)",
S240525p,Review ([contact](mailto:shania.nichols@ligo.org)),No DQ issues,Not ready,N/A,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240525p), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240525), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202405/S240525p/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240525p)",
S240527en,Review ([contact](mailto:shania.nichols@ligo.org)),DQ issues,Not ready,N/A,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240527en), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240527), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202405/S240527en/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240527en)",
S240527fv,Review ([contact](mailto:shania.nichols@ligo.org)),DQ issues,Not ready,N/A,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240527fv), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240527), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202405/S240527fv/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240527fv)",
S240530a,Review ([contact](mailto:shania.nichols@ligo.org)),DQ issues,Not ready,N/A,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240530a), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240530), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202405/S240530a/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240530a)",
S240531bp,Review ([contact](mailto:shania.nichols@ligo.org)),No DQ issues,Not ready,N/A,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240531bp), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240531), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202405/S240531bp/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240531bp)",
S240601aj,Event validation ([contact](mailto:dishari.malakar@ligo.org)),Not ready,Not ready,N/A,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240601aj), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240601), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202406/S240601aj/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240601aj)",
S240601co,Event validation ([contact](mailto:dishari.malakar@ligo.org)),Not ready,Not ready,N/A,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240601co), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240601), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202406/S240601co/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240601co)",
S240615dg,Review ([contact](mailto:shania.nichols@ligo.org)),DQ issues,Not ready,N/A,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240615dg), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240615), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202406/S240615dg/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240615dg)",
S240615ea,Review ([contact](mailto:shania.nichols@ligo.org)),No DQ issues,Not ready,N/A,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240615ea), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240615), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202406/S240615ea/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240615ea)",
S240618ah,Review ([contact](mailto:shania.nichols@ligo.org)),DQ issues,Not ready,N/A,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240618ah), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240618), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202406/S240618ah/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240618ah)",
S240621dy,Review ([contact](mailto:shania.nichols@ligo.org)),No DQ issues,Not ready,N/A,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240621dy), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240621), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202406/S240621dy/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240621dy)",
S240621eb,Review ([contact](mailto:shania.nichols@ligo.org)),No DQ issues,Not ready,N/A,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240621eb), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240621), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202406/S240621eb/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240621eb)",
S240621em,Review ([contact](mailto:shania.nichols@ligo.org)),DQ issues,Not ready,N/A,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240621em), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240621), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202406/S240621em/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240621em)",
S240622h,Review ([contact](mailto:shania.nichols@ligo.org)),DQ issues,Not ready,N/A,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240622h), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240622), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202406/S240622h/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240622h)",
S240624cd,Review ([contact](mailto:shania.nichols@ligo.org)),DQ issues,Not ready,N/A,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240624cd), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240624), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202406/S240624cd/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240624cd)",
S240627by,Event validation ([contact](mailto:ahelmlin@uoregon.edu)),Not ready,Not ready,N/A,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240627by), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240627), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202406/S240627by/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240627by)",
S240629by,Event validation ([contact](mailto:ahelmlin@uoregon.edu)),Not ready,Not ready,N/A,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240629by), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240629), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202406/S240629by/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240629by)",
S240630t,Event validation ([contact](mailto:ahelmlin@uoregon.edu)),Not ready,Not ready,N/A,No,"[GraceDB](https://gracedb.ligo.org//superevents/S240630t), [Detectors](https://ldas-jobs.ligo.caltech.edu/~detchar/summary/day/20240630), [DQR](https://ldas-jobs.ligo.caltech.edu/~dqr/o4dqr/online/events/202406/S240630t/), [EV](https://dqr.ligo.caltech.edu/ev_forms/summary/S240630t)",
